How old are you?,Salary,Please indicate the currency,What country do you work in?,What is your race? (Choose all that apply.),New Age Range_18-34,New Age Range_35-54,New Age Range_55 or over,New Age Range_under 18,"What industry do you work in?_Accounting, Banking & Finance",What industry do you work in?_Agriculture or Forestry,What industry do you work in?_Art & Design,What industry do you work in?_Business or Consulting,What industry do you work in?_Computing or Tech,What industry do you work in?_Education (Higher Education),What industry do you work in?_Education (Primary/Secondary),What industry do you work in?_Engineering or Manufacturing,What industry do you work in?_Entertainment,What industry do you work in?_Government and Public Administration,What industry do you work in?_Health care,What industry do you work in?_Hospitality & Events,What industry do you work in?_Insurance,What industry do you work in?_Law,What industry do you work in?_Law Enforcement & Security,"What industry do you work in?_Leisure, Sport & Tourism","What industry do you work in?_Marketing, Advertising & PR",What industry do you work in?_Media & Digital,What industry do you work in?_Nonprofits,What industry do you work in?_Property or Construction,What industry do you work in?_Recruitment or HR,What industry do you work in?_Retail,What industry do you work in?_Sales,What industry do you work in?_Social Work,What industry do you work in?_Transport or Logistics,What industry do you work in?_Utilities & Telecommunications,Continent_Africa,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,How many years of professional work experience do you have overall?_1 year or less,How many years of professional work experience do you have overall?_11 - 20 years,How many years of professional work experience do you have overall?_2 - 4 years,How many years of professional work experience do you have overall?_21 - 30 years,How many years of professional work experience do you have overall?_31 - 40 years,How many years of professional work experience do you have overall?_41 years or more,How many years of professional work experience do you have overall?_5-7 years,How many years of professional work experience do you have overall?_8 - 10 years,How many years of professional work experience do you have in your field?_1 year or less,How many years of professional work experience do you have in your field?_11 - 20 years,How many years of professional work experience do you have in your field?_2 - 4 years,How many years of professional work experience do you have in your field?_21 - 30 years,How many years of professional work experience do you have in your field?_31 - 40 years,How many years of professional work experience do you have in your field?_41 years or more,How many years of professional work experience do you have in your field?_5-7 years,How many years of professional work experience do you have in your field?_8 - 10 years,What is your highest level of education completed?_College degree,What is your highest level of education completed?_High School,What is your highest level of education completed?_Master's degree,What is your highest level of education completed?_PhD,"What is your highest level of education completed?_Professional degree (MD, JD, etc.)",What is your highest level of education completed?_Some college,What is your gender?_Man,What is your gender?_Non-binary,What is your gender?_Other or prefer not to answer,What is your gender?_Prefer not to answer,What is your gender?_Woman
25-34,55000.0,USD,USA,White,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25-34,69342.0,USD,UK,White,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
25-34,34000.0,USD,USA,White,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25-34,62000.0,USD,USA,White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
25-34,60000.0,USD,USA,White,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
25-34,62000.0,USD,USA,White,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
25-34,50000.0,USD,USA,White,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
45-54,112000.0,USD,USA,White,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35-44,45000.0,USD,USA,"Hispanic, Latino, or Spanish origin, White",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25-34,47500.0,USD,USA,White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
